Pizza No.,Order Date,Order Time,Ord - Del time,Order Receipt (mins), Base prep (mins), Styling (mins), Cooking Time (mins),Boxing (mins),Delivery (mins),Oven Temp ºC,Order Mode,Size,Area,Order Taker,Dough Prep,Stylist,Oven,Boxer,Deliverer,Cust. complaint,Reason,,,,,,,
9746,18/05/2018,17:39:19,49.9,0.77,3.39,0.38,7.19,0.38,37.8,281.1,App,Large,E,Kim,Vivaan,Tsepo,Curry,Bongani,Rita,No,,,,,,,,
9747,18/05/2018,17:47:11,45.5,0.79,3.22,0.58,6.51,0.58,33.8,243.9,App,Medium,E,Kim,Vivaan,Tsepo,Chilli,Bongani,Sei,No,,,,,,,,
9748,18/05/2018,17:56:44,38.3,0.74,3.23,0.44,6.94,0.44,26.5,280.8,Phone,Large,A,Kim,Vivaan,Tsepo,Curry,Bongani,Lebo,No,,,,,,,,
9749,18/05/2018,17:57:45,38.3,0.80,3.46,0.56,6.45,0.56,26.4,282.9,Phone,Large,A,Kim,Vivaan,Tsepo,Curry,Bongani,Rita,No,,,,,,,,
7745,03/05/2018,18:16:14,56.7,0.81,3.44,0.45,6.57,0.45,45.0,246.6,Phone,Medium,E,Dineo,Tau,Evelyn,Chilli,Bongani,Jeff,yes,Late delivery,,,,,,,
9751,18/05/2018,18:02:42,38.2,0.73,3.41,0.56,6.49,0.56,26.4,247.1,Phone,Small,B,Kim,Vivaan,Lindi,Chilli,Bongani,Lebo,No,,,,,,,,
9752,18/05/2018,18:04:39,45.1,0.69,3.60,0.40,6.87,0.40,33.1,275.1,App,Large,E,Kim,Vivaan,Lindi,Curry,Bongani,Rita,No,,,,,,,,
9753,18/05/2018,18:05:03,43.1,0.93,3.02,0.52,6.35,0.52,31.8,249.3,Phone,Medium,E,Kim,Vivaan,Lindi,Chilli,Bongani,Sei,No,,,,,,,,
9754,18/05/2018,18:06:44,37.9,0.86,3.30,0.55,6.57,0.55,26.0,243.9,App,Small,A,Kim,Vivaan,Lindi,Chilli,Bongani,Lebo,No,,,,,,,,
9755,18/05/2018,18:10:29,42.0,0.69,3.54,0.45,7.29,0.45,29.6,289.0,Phone,Family,A,Kim,Vivaan,Lindi,Wasabi,Bongani,Rita,No,,,,,,,,
9756,18/05/2018,18:16:53,39.9,1.03,3.31,0.31,6.28,0.31,28.7,243.0,Phone,Small,B,Kim,Vivaan,Lindi,Chilli,Bongani,Sei,No,,,,,,,,
9757,18/05/2018,18:17:29,39.4,0.77,3.58,0.48,7.19,0.48,26.9,285.5,App,Family,D,Kim,Vivaan,Lindi,Wasabi,Bongani,Lebo,No,,,,,,,,
7096,28/04/2018,17:29:21,56.8,0.67,3.24,0.51,6.74,0.51,45.1,247.3,Phone,Medium,E,Dineo,Vivaan,Sally,Chilli,Pat,Sei,yes,Late delivery,,,,,,,
9759,18/05/2018,18:21:10,42.6,1.09,3.21,0.33,6.30,0.33,31.4,249.4,Phone,Small,D,Kim,Vivaan,Lindi,Chilli,Bongani,Sei,No,,,,,,,,
9760,18/05/2018,18:21:17,43.6,0.82,3.41,0.49,6.90,0.49,31.6,279.8,App,Large,D,Kim,Vivaan,Lindi,Curry,Bongani,Lebo,No,,,,,,,,
9761,18/05/2018,18:29:48,38.8,0.73,3.18,0.44,6.50,0.44,27.5,245.0,Phone,Small,B,Kim,Vivaan,Lindi,Chilli,Bongani,Rita,No,,,,,,,,
9762,18/05/2018,18:31:29,43.6,0.81,3.18,0.50,6.33,0.50,32.3,245.7,App,Small,B,Kim,Vivaan,Lindi,Chilli,Bongani,Sei,No,,,,,,,,
9763,18/05/2018,18:36:16,53.6,0.80,3.21,0.48,6.66,0.48,42.0,246.6,Phone,Small,E,Kim,Vivaan,Lindi,Chilli,Bongani,Lebo,No,,,,,,,,
9764,18/05/2018,18:37:45,48.2,0.48,3.34,0.49,6.74,0.49,36.7,283.1,Phone,Large,E,Kim,Vivaan,Lindi,Curry,Bongani,Rita,No,,,,,,,,
9765,18/05/2018,18:38:29,40.9,0.66,3.64,0.48,7.21,0.48,28.4,288.2,App,Family,A,Kim,Vivaan,Lindi,Wasabi,Bongani,Sei,No,,,,,,,,
9766,18/05/2018,18:40:15,40.3,1.02,3.60,0.55,7.00,0.55,27.6,294.1,Phone,Family,A,Kim,Vivaan,Lindi,Wasabi,Bongani,Lebo,No,,,,,,,,
9767,18/05/2018,18:46:13,38.2,0.75,3.30,0.48,6.87,0.48,26.4,276.5,Phone,Large,B,Kim,Vivaan,Lindi,Curry,Bongani,Rita,No,,,,,,,,
9768,18/05/2018,18:46:22,42.1,0.74,3.30,0.46,7.19,0.46,29.9,295.6,App,Family,D,Kim,Vivaan,Lindi,Wasabi,Bongani,Sei,No,,,,,,,,
9769,18/05/2018,18:47:57,55.5,0.68,3.24,0.50,6.88,0.50,43.7,275.4,App,Large,C,Kim,Vivaan,Lindi,Curry,Bongani,Lebo,No,,,,,,,,
9770,18/05/2018,18:48:25,49.6,0.87,3.29,0.46,6.17,0.46,38.3,282.0,Phone,Family,E,Kim,Vivaan,Lindi,Chilli,Bongani,Rita,yes,Too Doughy,,,,,,,
9771,18/05/2018,18:51:25,47.8,0.77,3.10,0.49,7.51,0.49,35.5,288.4,App,Family,E,Kim,Vivaan,Lindi,Wasabi,Bongani,Sei,No,,,,,,,,
9772,18/05/2018,18:53:41,45.7,0.82,3.10,0.43,6.71,0.43,34.3,243.3,App,Small,E,Kim,Vivaan,Lindi,Chilli,Bongani,Lebo,No,,,,,,,,
9773,18/05/2018,19:00:25,37.2,0.58,3.25,0.50,7.29,0.50,25.1,289.9,Phone,Family,A,Kim,Vivaan,Lindi,Wasabi,Bongani,Rita,No,,,,,,,,
9774,18/05/2018,19:02:42,42.6,0.57,3.35,0.55,6.59,0.55,30.9,244.5,Phone,Medium,B,Kim,Vivaan,Lindi,Chilli,Bongani,Sei,No,,,,,,,,
9775,18/05/2018,19:06:52,42.7,0.46,3.54,0.57,7.43,0.57,30.1,294.1,App,Family,B,Kim,Vivaan,Lindi,Wasabi,Bongani,Lebo,No,,,,,,,,
9776,18/05/2018,19:12:39,39.8,0.65,3.48,0.52,7.07,0.52,27.5,284.2,Phone,Family,A,Kim,Vivaan,Lindi,Wasabi,Bongani,Rita,No,,,,,,,,
9777,18/05/2018,19:16:09,46.6,0.72,3.20,0.56,6.48,0.56,35.0,240.2,Phone,Small,E,Kim,Vivaan,Lindi,Chilli,Bongani,Kone,No,,,,,,,,
9778,18/05/2018,19:16:16,43.1,0.58,3.18,0.38,6.56,0.38,32.0,241.8,App,Medium,D,Kim,Vivaan,Lindi,Chilli,Bongani,Jeff,No,,,,,,,,
9779,18/05/2018,19:18:36,56.4,0.58,3.38,0.59,7.35,0.59,43.9,294.7,App,Family,C,Kim,Vivaan,Lindi,Wasabi,Bongani,Mary,No,,,,,,,,
9780,18/05/2018,19:20:44,43.0,0.75,3.45,0.59,7.32,0.59,30.3,289.2,App,Family,A,Kim,Vivaan,Lindi,Wasabi,Bongani,Kone,No,,,,,,,,
9781,18/05/2018,19:25:04,43.1,0.85,3.12,0.52,6.59,0.52,31.5,281.2,Phone,Large,D,Kim,Vivaan,Lindi,Curry,Bongani,Jeff,No,,,,,,,,
9782,18/05/2018,19:32:57,50.0,0.58,3.22,0.44,7.37,0.44,37.9,278.0,Phone,Large,E,Kim,Vivaan,Lindi,Chilli,Bongani,Mary,yes,Too Doughy,,,,,,,
9783,18/05/2018,19:42:15,40.1,0.73,3.27,0.41,7.20,0.41,28.1,278.5,App,Large,B,Kim,Vivaan,Lindi,Curry,Bongani,Kone,No,,,,,,,,
9784,18/05/2018,19:46:52,52.5,0.84,3.45,0.56,6.77,0.56,40.4,280.5,Phone,Large,E,Kim,Vivaan,Lindi,Curry,Bongani,Jeff,No,,,,,,,,
9785,18/05/2018,19:50:49,50.9,0.73,3.34,0.48,6.37,0.48,39.6,248.2,App,Medium,E,Kim,Vivaan,Lindi,Chilli,Bongani,Mary,No,,,,,,,,
9786,18/05/2018,19:50:58,40.1,0.82,3.19,0.51,6.35,0.51,28.7,243.1,App,Small,A,Kim,Vivaan,Lindi,Chilli,Bongani,Kone,No,,,,,,,,
9787,18/05/2018,19:53:25,40.2,0.80,3.35,0.47,7.03,0.47,28.1,277.0,Phone,Large,A,Kim,Vivaan,Lindi,Chilli,Bongani,Jeff,yes,Too Doughy,,,,,,,
9788,18/05/2018,19:56:45,43.5,0.64,3.26,0.53,6.79,0.53,31.7,279.2,App,Large,B,Kim,Vivaan,Lindi,Curry,Bongani,Mary,No,,,,,,,,
9789,18/05/2018,19:57:54,42.0,0.94,3.61,0.45,7.49,0.45,29.0,291.2,Phone,Family,B,Kim,Vivaan,Lindi,Wasabi,Bongani,Kone,No,,,,,,,,
9790,18/05/2018,19:59:47,52.0,0.77,3.60,0.59,7.41,0.59,39.1,286.2,Phone,Family,E,Kim,Vivaan,Lindi,Wasabi,Bongani,Jeff,No,,,,,,,,
9791,18/05/2018,20:03:35,45.7,0.75,3.44,0.46,6.65,0.46,33.9,242.9,App,Medium,E,Kim,Vivaan,Lindi,Chilli,Bongani,Mary,No,,,,,,,,
9792,18/05/2018,20:05:50,40.9,0.80,3.41,0.34,6.52,0.34,29.5,244.2,Phone,Medium,A,Kim,Vivaan,Lindi,Chilli,Bongani,Kone,No,,,,,,,,
9793,18/05/2018,20:06:24,43.7,0.78,3.37,0.35,7.31,0.35,31.6,284.6,App,Family,A,Kim,Vivaan,Lindi,Wasabi,Bongani,Jeff,No,,,,,,,,
9794,18/05/2018,20:13:54,38.1,0.76,3.24,0.28,7.49,0.28,26.1,289.2,Phone,Family,B,Kim,Vivaan,Lindi,Wasabi,Bongani,Mary,No,,,,,,,,
9795,18/05/2018,20:16:53,42.0,0.64,3.39,0.48,6.73,0.48,30.3,282.0,App,Large,D,Kim,Vivaan,Lindi,Curry,Bongani,Kone,No,,,,,,,,
9796,18/05/2018,20:20:02,45.5,0.73,3.45,0.48,6.53,0.48,33.9,244.7,Phone,Medium,C,Kim,Vivaan,Lindi,Chilli,Bongani,Jeff,No,,,,,,,,
9797,18/05/2018,20:26:31,51.6,0.61,3.42,0.44,7.26,0.44,39.5,277.3,App,Large,E,Kim,Vivaan,Lindi,Curry,Bongani,Mary,No,,,,,,,,
9798,18/05/2018,20:28:12,42.5,0.76,3.48,0.46,6.69,0.46,30.7,247.9,Phone,Medium,E,Kim,Vivaan,Lindi,Chilli,Bongani,Kone,No,,,,,,,,
9799,18/05/2018,20:33:59,48.8,0.97,3.36,0.46,6.61,0.46,36.9,240.9,Phone,Medium,E,Kim,Vivaan,Lindi,Chilli,Bongani,Jeff,No,,,,,,,,
9800,18/05/2018,20:38:25,42.5,0.57,3.45,0.55,7.10,0.55,30.3,279.7,App,Large,A,Kim,Vivaan,Lindi,Curry,Bongani,Mary,No,,,,,,,,
9801,18/05/2018,20:39:56,45.5,0.91,3.34,0.51,6.80,0.51,33.4,248.6,App,Medium,E,Kim,Vivaan,Lindi,Chilli,Bongani,Kone,No,,,,,,,,
9802,18/05/2018,20:41:13,43.9,0.91,3.35,0.45,7.19,0.45,31.6,279.5,Phone,Large,E,Kim,Vivaan,Lindi,Curry,Bongani,Jeff,No,,,,,,,,
9803,18/05/2018,20:42:51,50.4,0.92,3.36,0.49,6.31,0.49,38.9,243.8,App,Small,E,Kim,Vivaan,Lindi,Chilli,Bongani,Mary,No,,,,,,,,
9804,18/05/2018,20:44:46,39.8,1.00,3.35,0.60,7.43,0.60,26.9,289.4,Phone,Family,A,Kim,Vivaan,Lindi,Wasabi,Bongani,Kone,No,,,,,,,,
9805,18/05/2018,20:58:40,40.8,0.79,3.12,0.43,7.19,0.43,28.9,275.2,Phone,Large,B,Kim,Vivaan,Lindi,Curry,Bongani,Jeff,No,,,,,,,,
9806,18/05/2018,20:59:05,36.7,0.78,3.31,0.50,7.18,0.50,24.4,282.7,App,Family,B,Kim,Vivaan,Lindi,Wasabi,Bongani,Mary,No,,,,,,,,
9807,18/05/2018,21:03:53,36.1,0.70,3.20,0.51,6.70,0.51,24.5,247.7,Phone,Medium,A,Kim,Vivaan,Lindi,Chilli,Bongani,Kone,No,,,,,,,,
9808,18/05/2018,21:07:27,48.2,0.75,3.62,0.56,7.55,0.56,35.2,291.3,App,Family,E,Kim,Vivaan,Lindi,Wasabi,Bongani,Jeff,No,,,,,,,,
9809,18/05/2018,21:12:53,43.6,0.63,3.49,0.49,6.71,0.49,31.8,249.7,App,Medium,D,Kim,Vivaan,Lindi,Chilli,Bongani,Mary,No,,,,,,,,
9810,18/05/2018,21:13:31,41.7,0.92,3.50,0.48,7.34,0.48,29.0,291.0,App,Family,C,Kim,Vivaan,Lindi,Wasabi,Bongani,Kone,No,,,,,,,,
9811,18/05/2018,21:14:24,35.3,0.72,3.38,0.49,6.68,0.49,23.5,242.0,App,Medium,A,Kim,Vivaan,Lindi,Chilli,Bongani,Jeff,No,,,,,,,,
9812,18/05/2018,21:16:24,44.0,0.60,3.25,0.46,7.42,0.46,31.8,290.5,Phone,Family,D,Kim,Vivaan,Lindi,Wasabi,Bongani,Mary,No,,,,,,,,
9813,18/05/2018,21:26:52,51.6,0.91,3.53,0.37,6.75,0.37,39.7,279.4,App,Large,E,Kim,Vivaan,Lindi,Curry,Bongani,Kone,No,,,,,,,,
9814,18/05/2018,21:28:52,40.5,0.84,3.33,0.51,7.16,0.51,28.1,288.3,Phone,Family,B,Kim,Vivaan,Lindi,Wasabi,Bongani,Jeff,No,,,,,,,,
9815,18/05/2018,21:30:42,45.0,0.93,3.21,0.46,6.50,0.46,33.4,246.7,App,Medium,E,Kim,Vivaan,Lindi,Chilli,Bongani,Mary,No,,,,,,,,
9816,18/05/2018,21:35:01,50.2,0.80,3.35,0.57,6.59,0.57,38.3,246.2,App,Small,E,Kim,Vivaan,Lindi,Chilli,Bongani,Kone,No,,,,,,,,
9817,18/05/2018,21:35:59,39.9,1.03,3.22,0.52,6.31,0.52,28.3,245.4,Phone,Small,A,Kim,Vivaan,Lindi,Chilli,Bongani,Jeff,No,,,,,,,,
9818,18/05/2018,21:37:10,37.7,0.77,3.40,0.51,7.30,0.51,25.2,281.0,App,Family,A,Kim,Vivaan,Lindi,Wasabi,Bongani,Mary,No,,,,,,,,
9819,18/05/2018,21:41:53,43.4,0.68,3.30,0.30,6.33,0.30,32.5,250.1,App,Small,B,Kim,Vivaan,Lindi,Chilli,Bongani,Kone,No,,,,,,,,
9820,18/05/2018,21:44:27,36.8,1.00,3.22,0.43,7.12,0.43,24.6,270.9,App,Large,B,Kim,Vivaan,Lindi,Curry,Bongani,Jeff,yes,Wrong topping,,,,,,,
9821,18/05/2018,21:45:35,39.0,0.80,3.54,0.54,7.10,0.54,26.5,278.3,Phone,Large,E,Kim,Vivaan,Lindi,Curry,Bongani,Mary,No,,,,,,,,
9822,18/05/2018,21:53:38,46.9,0.53,3.39,0.59,6.65,0.59,35.2,247.2,App,Medium,E,Kim,Vivaan,Lindi,Chilli,Bongani,Kone,No,,,,,,,,
9823,18/05/2018,21:54:02,40.5,0.86,3.50,0.42,7.10,0.42,28.2,274.1,App,Large,A,Kim,Vivaan,Lindi,Curry,Bongani,Jeff,No,,,,,,,,
9824,18/05/2018,21:56:41,40.7,1.05,3.31,0.44,6.66,0.44,28.8,245.1,Phone,Medium,A,Kim,Vivaan,Lindi,Chilli,Bongani,Mary,No,,,,,,,,
9825,18/05/2018,21:56:44,32.9,0.60,3.27,0.39,6.70,0.39,21.5,272.6,Phone,Large,B,Kim,Vivaan,Lindi,Curry,Bongani,Kone,No,,,,,,,,
9826,18/05/2018,21:57:12,34.1,0.84,3.51,0.35,7.44,0.35,21.6,289.7,Phone,Family,A,Kim,Vivaan,Lindi,Wasabi,Bongani,Jeff,No,,,,,,,,
9827,18/05/2018,22:03:37,41.1,0.81,3.08,0.47,6.57,0.47,29.7,251.7,Phone,Small,B,Kim,Vivaan,Lindi,Chilli,Bongani,Mary,No,,,,,,,,
9828,18/05/2018,22:06:20,45.3,0.64,3.54,0.44,7.20,0.44,33.0,276.8,Phone,Large,B,Kim,Vivaan,Lindi,Curry,Bongani,Kone,No,,,,,,,,
9829,18/05/2018,22:15:26,39.5,0.59,3.55,0.50,7.16,0.50,27.2,292.6,Phone,Family,A,Kim,Vivaan,Lindi,Wasabi,Bongani,Jeff,No,,,,,,,,
9830,18/05/2018,22:18:23,50.3,0.88,3.66,0.53,7.52,0.53,37.2,285.0,App,Family,E,Kim,Vivaan,Lindi,Wasabi,Bongani,Mary,No,,,,,,,,
9831,18/05/2018,22:20:01,40.0,0.66,3.41,0.43,6.63,0.43,28.4,241.2,App,Medium,A,Kim,Vivaan,Lindi,Chilli,Bongani,Kone,No,,,,,,,,
9832,18/05/2018,22:20:36,42.6,0.76,3.37,0.56,6.80,0.56,30.6,249.3,Phone,Medium,D,Kim,Vivaan,Lindi,Chilli,Bongani,Jeff,No,,,,,,,,
9833,18/05/2018,22:21:51,44.9,0.64,3.43,0.57,6.74,0.57,32.9,282.6,Phone,Large,D,Kim,Vivaan,Lindi,Curry,Bongani,Mary,No,,,,,,,,
9834,18/05/2018,22:23:03,43.6,0.48,3.48,0.55,7.32,0.55,31.2,294.9,App,Family,C,Kim,Vivaan,Lindi,Wasabi,Bongani,Kone,No,,,,,,,,
9835,18/05/2018,22:30:33,37.5,0.72,3.23,0.66,6.58,0.66,25.7,243.6,Phone,Small,A,Kim,Vivaan,Lindi,Chilli,Bongani,Jeff,No,,,,,,,,
9836,18/05/2018,22:34:31,36.6,0.74,3.40,0.57,7.10,0.57,24.3,278.3,App,Large,B,Kim,Vivaan,Lindi,Curry,Bongani,Mary,No,,,,,,,,
9837,18/05/2018,22:36:08,53.5,0.91,3.42,0.49,7.11,0.49,41.1,284.4,App,Family,E,Kim,Vivaan,Lindi,Wasabi,Bongani,Kone,No,,,,,,,,
9838,18/05/2018,22:44:34,49.0,0.76,3.74,0.44,7.25,0.44,36.3,284.8,Phone,Family,E,Kim,Vivaan,Lindi,Wasabi,Bongani,Jeff,No,,,,,,,,
9839,18/05/2018,22:46:46,45.1,0.77,3.13,0.45,6.18,0.45,34.1,249.8,Phone,Small,E,Kim,Vivaan,Lindi,Chilli,Bongani,Mary,No,,,,,,,,
9840,18/05/2018,22:48:15,36.2,0.67,3.48,0.55,7.05,0.55,23.9,284.3,Phone,Large,A,Kim,Vivaan,Lindi,Curry,Bongani,Kone,No,,,,,,,,
9841,18/05/2018,22:50:58,37.5,0.66,3.57,0.55,6.94,0.55,25.2,275.5,App,Large,A,Kim,Vivaan,Lindi,Curry,Bongani,Jeff,No,,,,,,,,
9842,18/05/2018,22:54:09,41.1,0.73,3.27,0.30,6.70,0.30,29.8,280.8,App,Large,E,Kim,Vivaan,Lindi,Curry,Bongani,Mary,No,,,,,,,,
9843,18/05/2018,22:57:38,48.0,0.77,3.70,0.47,7.39,0.47,35.2,284.6,App,Family,E,Kim,Vivaan,Lindi,Wasabi,Bongani,Kone,No,,,,,,,,
9844,18/05/2018,23:12:48,44.7,0.59,3.32,0.58,6.43,0.58,33.2,249.5,App,Medium,B,Kim,Vivaan,Lindi,Chilli,Bongani,Jeff,No,,,,,,,,
9845,18/05/2018,23:13:01,43.0,0.83,3.54,0.45,6.80,0.45,30.9,247.8,Phone,Medium,D,Kim,Vivaan,Lindi,Chilli,Bongani,Mary,No,,,,,,,,
9846,18/05/2018,23:14:45,49.5,0.84,3.59,0.52,7.18,0.52,36.8,287.7,App,Family,E,Kim,Vivaan,Lindi,Wasabi,Bongani,Kone,No,,,,,,,,
9847,18/05/2018,23:25:28,38.0,0.69,3.57,0.47,6.87,0.47,26.0,275.5,Phone,Large,B,Kim,Vivaan,Lindi,Curry,Bongani,Jeff,No,,,,,,,,
9848,18/05/2018,23:30:23,50.0,0.82,3.30,0.53,6.77,0.53,38.0,280.9,App,Large,E,Kim,Vivaan,Lindi,Curry,Bongani,Mary,No,,,,,,,,
9849,18/05/2018,23:31:58,40.7,0.86,3.39,0.49,6.98,0.49,28.5,269.3,Phone,Large,A,Kim,Vivaan,Lindi,Curry,Bongani,Kone,No,,,,,,,,
9850,18/05/2018,23:33:39,40.8,0.66,3.41,0.57,6.79,0.57,28.8,283.4,App,Large,C,Kim,Vivaan,Lindi,Curry,Bongani,Kone,No,,,,,,,,
9851,18/05/2018,23:38:11,41.0,0.84,3.28,0.50,6.80,0.50,29.1,278.6,Phone,Large,A,Kim,Vivaan,Lindi,Curry,Bongani,Jeff,No,,,,,,,,
9852,18/05/2018,23:40:12,38.8,0.67,3.36,0.41,7.10,0.41,26.8,278.2,App,Large,A,Kim,Vivaan,Lindi,Curry,Bongani,Mary,No,,,,,,,,
9853,18/05/2018,23:42:37,42.8,0.74,3.33,0.48,6.88,0.48,30.9,271.9,App,Large,B,Kim,Vivaan,Lindi,Curry,Bongani,Kone,No,,,,,,,,
9854,18/05/2018,23:52:30,37.6,0.59,3.26,0.48,6.72,0.48,26.1,280.7,App,Large,B,Kim,Vivaan,Lindi,Curry,Bongani,Jeff,No,,,,,,,,
9855,18/05/2018,23:58:54,36.7,0.83,3.42,0.51,7.39,0.51,24.1,283.4,App,Family,A,Kim,Vivaan,Lindi,Wasabi,Bongani,Mary,No,,,,,,,,
9856,19/05/2018,12:06:40,42.4,0.96,3.20,0.43,6.93,0.43,30.5,277.0,App,Large,E,Kim,Vivaan,Tsepo,Curry,Bongani,Kone,No,,,,,,,,
9857,19/05/2018,12:09:37,36.8,0.75,3.59,0.43,6.65,0.43,25.0,277.5,App,Large,B,Kim,Vivaan,Tsepo,Curry,Bongani,Jeff,No,,,,,,,,
9858,19/05/2018,12:18:52,48.6,0.85,3.17,0.54,6.85,0.54,36.7,268.9,App,Large,E,Kim,Vivaan,Tsepo,Curry,Bongani,Mary,No,,,,,,,,
9859,19/05/2018,12:19:23,44.9,0.55,3.37,0.45,6.84,0.45,33.3,285.5,App,Large,E,Kim,Vivaan,Tsepo,Curry,Bongani,Kone,No,,,,,,,,
9860,19/05/2018,12:20:44,38.0,0.69,3.18,0.58,6.94,0.58,26.0,278.6,App,Large,A,Kim,Vivaan,Tsepo,Curry,Bongani,Jeff,No,,,,,,,,
9861,19/05/2018,12:30:41,41.0,0.58,3.03,0.54,6.85,0.54,29.5,285.8,App,Large,A,Kim,Vivaan,Tsepo,Curry,Bongani,Mary,No,,,,,,,,
9862,19/05/2018,12:37:25,37.2,0.91,3.55,0.56,6.82,0.56,24.8,278.7,Phone,Large,B,Kim,Vivaan,Tsepo,Curry,Bongani,Kone,No,,,,,,,,
9863,19/05/2018,12:43:05,43.9,0.67,3.46,0.45,7.17,0.45,31.7,298.0,App,Family,D,Kim,Vivaan,Tsepo,Wasabi,Bongani,Jeff,No,,,,,,,,
9864,19/05/2018,12:44:29,50.1,0.83,3.37,0.56,6.77,0.56,38.0,274.2,App,Large,C,Kim,Vivaan,Tsepo,Curry,Bongani,Mary,No,,,,,,,,
9865,19/05/2018,12:51:42,51.6,0.66,3.33,0.60,7.48,0.60,39.0,284.2,Phone,Family,E,Kim,Vivaan,Tsepo,Wasabi,Bongani,Kone,No,,,,,,,,
9866,19/05/2018,12:59:44,51.9,0.72,3.43,0.49,7.48,0.49,39.3,287.4,Phone,Family,E,Kim,Vivaan,Tsepo,Wasabi,Bongani,Jeff,No,,,,,,,,
9867,19/05/2018,13:05:54,49.0,0.72,3.45,0.58,7.40,0.58,36.2,285.8,Phone,Family,E,Kim,Vivaan,Tsepo,Wasabi,Bongani,Mary,No,,,,,,,,
9868,19/05/2018,13:09:18,39.5,0.64,3.45,0.36,7.11,0.36,27.6,282.2,Phone,Large,A,Kim,Vivaan,Tsepo,Curry,Bongani,Kone,No,,,,,,,,
9869,19/05/2018,13:09:26,46.4,0.43,3.37,0.48,6.95,0.48,34.7,275.0,Phone,Large,B,Kim,Vivaan,Tsepo,Curry,Bongani,Jeff,No,,,,,,,,
9870,19/05/2018,13:09:48,40.8,0.61,3.26,0.31,6.98,0.31,29.4,277.7,App,Large,B,Kim,Vivaan,Tsepo,Curry,Bongani,Mary,No,,,,,,,,
9871,19/05/2018,13:10:25,40.2,0.76,3.42,0.63,6.73,0.63,28.0,279.0,App,Large,A,Kim,Vivaan,Tsepo,Curry,Bongani,Kone,No,,,,,,,,
9872,19/05/2018,13:17:47,52.0,0.76,3.68,0.45,7.16,0.45,39.5,295.3,Phone,Family,E,Kim,Vivaan,Tsepo,Wasabi,Bongani,Jeff,No,,,,,,,,
9873,19/05/2018,13:27:31,42.0,0.89,3.15,0.47,7.35,0.47,29.6,285.5,Phone,Family,D,Kim,Vivaan,Tsepo,Wasabi,Bongani,Mary,No,,,,,,,,
9874,19/05/2018,13:32:45,44.2,1.06,3.56,0.46,7.31,0.46,31.3,294.9,Phone,Family,C,Kim,Vivaan,Tsepo,Wasabi,Bongani,Kone,No,,,,,,,,
9875,19/05/2018,13:45:55,35.8,0.79,3.41,0.50,6.54,0.50,24.0,275.0,Phone,Large,A,Kim,Vivaan,Tsepo,Curry,Bongani,Jeff,No,,,,,,,,
9876,19/05/2018,13:50:45,44.9,0.77,3.55,0.45,7.13,0.45,32.5,286.9,App,Family,D,Kim,Vivaan,Tsepo,Wasabi,Bongani,Mary,No,,,,,,,,
9877,19/05/2018,14:01:35,56.4,0.71,3.49,0.49,7.15,0.49,44.0,291.3,Phone,Family,E,Kim,Vivaan,Tsepo,Wasabi,Bongani,Kone,No,,,,,,,,
9878,19/05/2018,14:02:38,40.9,0.79,3.53,0.50,7.10,0.50,28.5,295.5,App,Family,B,Kim,Vivaan,Tsepo,Wasabi,Bongani,Jeff,No,,,,,,,,
9879,19/05/2018,14:09:50,46.3,0.96,3.39,0.45,7.15,0.45,33.9,273.6,Phone,Large,E,Kim,Vivaan,Tsepo,Curry,Bongani,Mary,No,,,,,,,,
9880,19/05/2018,14:22:03,49.5,1.03,3.56,0.48,7.37,0.48,36.6,286.2,App,Family,E,Kim,Vivaan,Tsepo,Wasabi,Bongani,Kone,No,,,,,,,,
9881,19/05/2018,14:22:05,35.4,0.77,3.49,0.37,7.30,0.37,23.1,283.0,App,Family,A,Kim,Vivaan,Tsepo,Wasabi,Bongani,Jeff,yes,Wrong topping,,,,,,,
9882,19/05/2018,14:26:46,41.0,0.69,3.29,0.40,7.42,0.40,28.8,286.2,Phone,Family,A,Kim,Vivaan,Tsepo,Wasabi,Bongani,Mary,No,,,,,,,,
9883,19/05/2018,14:28:18,39.3,0.73,3.23,0.46,6.80,0.46,27.6,282.2,Phone,Large,B,Kim,Vivaan,Tsepo,Curry,Bongani,Kone,No,,,,,,,,
9884,19/05/2018,14:29:15,37.9,0.62,3.26,0.37,6.83,0.37,26.5,275.4,App,Large,B,Kim,Vivaan,Tsepo,Curry,Bongani,Jeff,yes,Wrong topping,,,,,,,
9885,19/05/2018,14:33:14,48.5,0.86,3.54,0.55,7.33,0.55,35.6,292.6,Phone,Family,E,Kim,Vivaan,Tsepo,Wasabi,Bongani,Mary,No,,,,,,,,
9886,19/05/2018,14:34:20,50.7,0.73,3.57,0.44,7.26,0.44,38.2,292.9,Phone,Family,E,Kim,Vivaan,Tsepo,Wasabi,Bongani,Kone,No,,,,,,,,
9887,19/05/2018,14:34:41,43.2,0.77,3.47,0.54,6.24,0.54,31.6,243.0,App,Small,A,Kim,Vivaan,Tsepo,Chilli,Bongani,Jeff,No,,,,,,,,
9888,19/05/2018,14:34:46,43.3,0.83,3.48,0.43,7.65,0.43,30.5,286.8,Phone,Family,A,Kim,Vivaan,Tsepo,Wasabi,Bongani,Mary,No,,,,,,,,
9889,19/05/2018,14:47:29,43.6,0.82,3.41,0.52,7.37,0.52,31.0,289.3,App,Family,B,Kim,Vivaan,Tsepo,Wasabi,Bongani,Kone,No,,,,,,,,
